2021/01/17 01:40:51 [notice] 9340#1696: signal process started
2021/01/17 12:39:13 [error] 15092#13248: *25 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:13 [error] 15092#13248: *27 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:13 [error] 15092#13248: *27 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:13 [error] 15092#13248: *29 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:23 [error] 15092#13248: *30 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:23 [error] 15092#13248: *31 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:23 [error] 15092#13248: *32 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:25 [error] 15092#13248: *37 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:27 [error] 15092#13248: *33 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:27 [error] 15092#13248: *33 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:27 [error] 15092#13248: *35 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
